source,target,weight,evidence
RUNX1,AHR,11.8517805912531,direct-net
REST,AHR,16.5165560727522,direct-net
SIX1,ASCL1,11.5546759505462,direct-net
RORB,ASCL1,13.2925501361924,direct-net
HES1,ASCL1,14.6000795982226,direct-net
NFIB,BACH1,9.52229441119499,direct-net
BACH1,BACH1,11.9614832546182,direct-net
RUNX1,BACH1,12.3119954458795,direct-net
ASCL1,BACH2,12.1786348172858,direct-net
BACH2,BACH2,8.05343644504397,direct-net
RUNX1,BACH2,13.252470197215,direct-net
SIX1,BBX,11.5425667292686,direct-net
ASCL1,CUX1,11.8279548680401,direct-net
MEIS2,CUX1,13.5768003687378,direct-net
NFIB,CUX2,15.6509409057456,direct-net
MEIS2,CUX2,13.4424405187233,direct-net
RUNX1,CUX2,12.832743089651,direct-net
ASCL1,EGR1,13.7658983622097,direct-net
MEIS2,EGR1,13.4424405187233,direct-net
FOS,EGR1,11.8325122586505,direct-net
EHF,EHF,12.9506692530605,direct-net
RUNX1,EHF,12.4281574299911,direct-net
SIX1,EPAS1,11.8160763936224,direct-net
RUNX1,EPAS1,12.7852452390608,direct-net
REST,EPAS1,9.18085916997155,direct-net
NFIB,EPCAM,10.6783277586994,direct-net
TCF4,EPCAM,12.1321770587865,direct-net
ASCL1,ETS1,12.0148472394855,direct-net
TCF4,ETS1,14.8878327077924,direct-net
NFIB,FOS,11.0462354336968,direct-net
JUN,FOS,11.5220449830441,direct-net
RUNX1,FOSB,11.9008829641451,direct-net
FOS,FOSB,13.4441018108281,direct-net
NFIB,FOXO3,9.79353773719871,direct-net
FOXO3,FOXO3,14.7232281712788,direct-net
RUNX1,FOXO3,11.872822364318,direct-net
GLIS3,GLIS3,7.81921979956786,direct-net
RUNX1,GLIS3,11.8105306088459,direct-net
GRHL2,GRHL2,12.0884726744817,direct-net
NFIB,GRHL2,9.84603381725957,direct-net
RUNX1,GRHL2,12.6418285099334,direct-net
RUNX1,HES1,12.1404006416286,direct-net
HES1,HES1,12.5966416718703,direct-net
ASCL1,HIF1A,11.7725161843751,direct-net
TCF4,HSF2,12.1007974296203,direct-net
MEIS2,ICAM1,13.5768003687378,direct-net
RUNX1,ICAM1,14.2482448868401,direct-net
TCF4,JUN,13.6937545111937,direct-net
FOS,JUN,14.6960521115676,direct-net
NFIB,JUNB,13.4489107707941,direct-net
ASCL1,JUNB,12.109228809948,direct-net
EGR1,JUNB,12.6505350766301,direct-net
