source,target,weight,evidence
EHF,AHR,13.4632177077794,direct-net
STAT1,AHR,11.8773312222548,direct-net
CREB1,AHR,11.2801437403426,direct-net
RUNX1,AHR,11.8517805912531,direct-net
TCF7L2,AHR,11.5183472483576,direct-net
REST,AHR,16.5165560727522,direct-net
FOS,AHR,15.1225685016477,direct-net
SIX1,ASCL1,11.5546759505462,direct-net
EGR1,ASCL1,12.2241837008816,direct-net
STAT1,ASCL1,16.4101396385457,direct-net
JUN,ASCL1,11.6534643544563,direct-net
JUND,ASCL1,12.6662591828889,direct-net
HES1,ASCL1,14.6000795982226,direct-net
EHF,BACH1,12.0985162401917,direct-net
TEAD1,BACH1,15.2112870723757,direct-net
TCF4,BACH1,13.2585789151564,direct-net
BACH1,BACH1,11.9614832546182,direct-net
RUNX1,BACH1,12.3119954458795,direct-net
JUND,BACH1,13.2262205423479,direct-net
NFIB,BACH2,9.80338369644865,direct-net
ASCL1,BACH2,12.1786348172858,direct-net
BACH2,BACH2,8.05343644504397,direct-net
RUNX1,BACH2,13.252470197215,direct-net
GRHL2,BBX,15.0803863975164,direct-net
SIX1,BBX,11.5425667292686,direct-net
JUN,BBX,13.9678276342825,direct-net
NFIA,CUX1,13.0415448240706,direct-net
ASCL1,CUX1,11.8279548680401,direct-net
MEIS2,CUX1,13.5768003687378,direct-net
EHF,CUX2,16.8387444478623,direct-net
NFIB,CUX2,15.6509409057456,direct-net
TFDP1,CUX2,12.1572326091774,direct-net
MEIS2,CUX2,13.4424405187233,direct-net
RORA,CUX2,12.9203560103498,direct-net
RUNX1,CUX2,12.832743089651,direct-net
TEAD1,EGR1,13.665946008776,direct-net
MEIS2,EGR1,13.4424405187233,direct-net
RORA,EGR1,12.9431721837765,direct-net
FOS,EGR1,11.8325122586505,direct-net
EHF,EHF,12.9506692530605,direct-net
RORB,EHF,11.6870669142512,direct-net
NFATC2,EHF,12.3905827067787,direct-net
ESR1,EHF,5.8683212339769,direct-net
NR6A1,EHF,11.3872279495513,direct-net
STAT1,EHF,10.8167950379483,direct-net
JUN,EHF,12.5106185042558,direct-net
RUNX1,EHF,12.4281574299911,direct-net
JUND,EHF,15.6755817594078,direct-net
FOS,EHF,14.8780453516145,direct-net
EHF,EPAS1,15.5175465476669,direct-net
SIX1,EPAS1,11.8160763936224,direct-net
JUN,EPAS1,16.6035631596347,direct-net
RUNX1,EPAS1,12.7852452390608,direct-net
REST,EPAS1,9.18085916997155,direct-net
JUNB,EPCAM,13.4199836681638,direct-net
TCF4,EPCAM,12.1321770587865,direct-net
NR6A1,EPCAM,15.9334089433781,direct-net
JUN,EPCAM,16.381150253914,direct-net
HES1,EPCAM,12.2287801874474,direct-net
FOS,EPCAM,15.4772541258618,direct-net
TCF4,ETS1,14.8878327077924,direct-net
BACH2,ETS1,9.89956864421234,direct-net
JUND,ETS1,11.9682219755578,direct-net
FOS,ETS1,13.8645537860508,direct-net
TEAD1,FOS,12.3193560833485,direct-net
NFIB,FOS,11.0462354336968,direct-net
ASCL1,FOS,12.2961211813935,direct-net
TFDP1,FOS,11.6401282019018,direct-net
RORA,FOS,12.4361643199089,direct-net
EGR1,FOS,12.4100968618584,direct-net
JUN,FOS,11.5220449830441,direct-net
RUNX1,FOS,13.1533864050783,direct-net
REST,FOS,7.54118942181722,direct-net
NFATC2,FOSB,12.3905827067787,direct-net
EGR1,FOSB,15.5343362527853,direct-net
STAT1,FOSB,13.384975787065,direct-net
RUNX1,FOSB,11.9008829641451,direct-net
JUND,FOSB,11.5629985210353,direct-net
FOS,FOSB,13.4441018108281,direct-net
NFIB,FOXO3,9.79353773719871,direct-net
FOXO3,FOXO3,14.7232281712788,direct-net
SOX9,FOXO3,12.6295537265993,direct-net
