CREB1,AHR
EHF,AHR
FOS,AHR
REST,AHR
RUNX1,AHR
STAT1,AHR
TCF7L2,AHR
EGR1,ASCL1
HES1,ASCL1
JUN,ASCL1
JUND,ASCL1
SIX1,ASCL1
STAT1,ASCL1
BACH1,BACH1
EHF,BACH1
JUND,BACH1
RUNX1,BACH1
TCF4,BACH1
TEAD1,BACH1
ASCL1,BACH2
BACH2,BACH2
NFIB,BACH2
RUNX1,BACH2
GRHL2,BBX
JUN,BBX
SIX1,BBX
ASCL1,CUX1
MEIS2,CUX1
NFIA,CUX1
NFIX,CUX1
TCF7L1,CUX1
TCF7L2,CUX1
EHF,CUX2
MEIS2,CUX2
NFIB,CUX2
RORA,CUX2
RUNX1,CUX2
TFDP1,CUX2
ASCL1,EGR1
BACH1,EGR1
FOS,EGR1
MEIS2,EGR1
NFATC2,EGR1
NFIB,EGR1
RORA,EGR1
TEAD1,EGR1
EHF,EHF
RUNX1,EHF
EHF,EPAS1
JUN,EPAS1
REST,EPAS1
RUNX1,EPAS1
SIX1,EPAS1
FOS,EPCAM
HES1,EPCAM
JUN,EPCAM
JUNB,EPCAM
NR6A1,EPCAM
TCF4,EPCAM
BACH2,ETS1
FOS,ETS1
JUND,ETS1
TCF4,ETS1
JUN,FOS
NFIB,FOS
EGR1,FOSB
FOS,FOSB
JUND,FOSB
NFATC2,FOSB
RUNX1,FOSB
STAT1,FOSB
FOS,FOXO3
FOXO3,FOXO3
MEIS2,FOXO3
NFIB,FOXO3
RORA,FOXO3
SOX9,FOXO3
FOS,GLIS3
GLIS3,GLIS3
PBX1,GLIS3
REST,GLIS3
TFDP1,GLIS3
GRHL2,GRHL2
NFIA,GRHL2
NFIB,GRHL2
RUNX1,GRHL2
TCF4,GRHL2
ASCL1,HES1
HES1,HES1
HIF1A,HES1
JUND,HES1
NFIA,HES1
NFIB,HES1
RORA,HES1
RUNX1,HES1
ASCL1,HIF1A
JUN,HIF1A
NFIA,HIF1A
SIX1,HIF1A
EGR1,HSF2
NFYC,HSF2
TCF4,HSF2
TEAD1,HSF2
TFDP1,HSF2
ZEB1,HSF2
EGR1,ICAM1
MEIS2,ICAM1
NFIA,ICAM1
NFIB,ICAM1
RUNX1,ICAM1
STAT1,ICAM1
THRB,ICAM1
EGR1,JUN
EHF,JUN
FOS,JUN
JUNB,JUN
NFIB,JUN
RUNX1,JUN
TCF4,JUN
EGR1,JUNB
NFIB,JUNB
PROX1,JUNB
RBPJ,JUNB
REST,JUNB
EGR1,KMT2A
EHF,KMT2A
JUND,KMT2A
LMX1B,KMT2A
NFIA,KMT2A
STAT1,KMT2A
